id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
107745711,733032659,2018-04-09,"Chicago, IL",within an hour,96%,95%,f,Back of the Yards,11,13,"['email', 'phone']",t,t,New City,41.79424,-87.66138,Private room in rental unit,Private room,1,1 shared bath,1.0,32,1125,32,32,1125,1125,32.0,1125.0,t,30,60,90,365,18,0,0,2019-06-16,2022-08-12,4.94,5.0,4.89,5.0,5.0,4.28,4.83,f,9,1,8,0,0.33
78539203,100553427,2014-12-23,,within an hour,100%,97%,f,Clearwater Beach,1141,2346,"['email', 'phone']",t,t,Near North Side,41.892749050757295,-87.62071101709277,Room in hotel,Private room,12,3 baths,3.0,32,365,32,32,365,365,32.0,365.0,t,25,49,66,135,0,0,0,,,,,,,,,,t,58,0,58,0,
1112961466060884803,1363361179,2020-03-08,,within an hour,100%,100%,f,Lake View East,1,1,['phone'],t,t,Lake View,41.9481596,-87.65230869999999,Entire rental unit,Entire home/apt,6,1 bath,3.0,2,45,2,2,45,45,2.0,45.0,t,0,0,0,0,14,14,1,2023-07-21,2023-12-03,4.87,5.0,5.0,5.0,5.0,4.93,4.8,f,1,1,0,0,2.78
104794437,188690459,2015-10-22,"Chicago, IL",within an hour,100%,98%,f,Bucktown,55,58,"['email', 'phone', 'work_email']",t,t,Hyde Park,41.80103,-87.59716,Entire rental unit,Entire home/apt,2,1 bath,1.0,2,180,2,2,180,180,2.0,180.0,t,23,53,83,355,13,13,3,2023-09-02,2023-12-06,4.08,4.08,4.0,4.38,4.23,4.54,3.85,t,55,55,0,0,3.61
1491898404543717797,1581996089,2021-04-04,"Chicago, IL",within an hour,100%,100%,t,Near South Side,74,75,"['email', 'phone']",t,t,Near South Side,41.85577,-87.62413,Entire rental unit,Entire home/apt,6,2 baths,3.0,2,365,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,64,42,3,2022-05-06,2023-12-06,4.8,4.74,4.75,4.83,4.85,4.74,4.72,t,74,74,0,0,3.24
1481553777640548311,100553427,2014-12-23,,within an hour,100%,97%,f,Clearwater Beach,1141,2346,"['email', 'phone']",t,t,Near North Side,41.8921,-87.61866,Room in hotel,Private room,2,1 bath,1.0,1,365,1,1,1,999,1.0,742.0,t,22,48,66,201,2,2,1,2023-10-29,2023-12-13,5.0,5.0,5.0,5.0,5.0,4.0,5.0,t,58,0,58,0,1.18
1683306051910314985,1140333995,2019-08-12,"Chicago, IL",within a few hours,100%,97%,t,Hyde Park,3,4,"['email', 'phone', 'work_email']",t,t,South Shore,41.77274,-87.57262,Entire condo,Entire home/apt,2,1 bath,1.0,2,90,2,2,1125,1125,2.0,1125.0,t,30,60,90,180,35,15,0,2020-09-07,2023-10-09,4.74,4.91,4.8,4.69,4.86,4.43,4.63,f,3,3,0,0,0.88
1529152511305666303,1951928105,2022-11-16,,within an hour,100%,99%,t,Humboldt Park,4,4,"['email', 'phone']",t,t,West Town,41.899645285823865,-87.70594889983555,Entire rental unit,Entire home/apt,4,2 baths,2.0,2,365,2,2,1125,1125,2.0,1125.0,t,30,45,63,63,25,25,0,2023-02-13,2023-10-16,4.88,4.92,4.76,4.84,4.92,4.4,4.72,f,4,4,0,0,2.43
1712856578860295791,88221641,2014-10-02,"Chicago, IL",within a few hours,100%,93%,f,Douglas,1,6,"['email', 'phone']",t,t,Douglas,41.83383,-87.62166,Entire guest suite,Entire home/apt,4,2 baths,2.0,2,1125,2,2,1125,1125,2.0,1125.0,t,25,45,75,337,32,16,1,2022-08-07,2023-11-18,4.75,4.94,4.69,4.88,4.94,4.78,4.91,f,1,1,0,0,1.92
1724890524124294371,995041819,2019-03-14,,within an hour,99%,99%,t,West Loop/Greektown,71,88,['phone'],t,t,Near North Side,41.89612,-87.62781,Entire rental unit,Entire home/apt,6,2 baths,3.0,2,365,2,3,1125,1125,2.2,1125.0,t,0,0,0,0,11,11,2,2023-04-23,2023-12-05,5.0,5.0,5.0,4.85,5.0,5.0,4.69,t,51,51,0,0,1.38
1643304762249640853,248092425,2016-03-07,"Los Angeles, CA",within a few hours,100%,84%,f,West Ridge,1,2,"['email', 'phone']",t,t,West Ridge,41.99560601123468,-87.68627179717201,Private room in rental unit,Private room,2,1 bath,1.0,1,60,2,2,60,60,2.0,60.0,t,30,60,90,269,13,13,1,2023-07-28,2023-11-25,5.0,4.92,4.92,4.85,5.0,4.92,4.92,f,1,0,1,0,2.71
1905666360688463049,972142425,2019-02-13,"Skokie, IL",within an hour,100%,100%,f,Near South Side,42,45,"['email', 'phone']",t,t,Near South Side,41.85394,-87.6273,Entire rental unit,Entire home/apt,6,2 baths,3.0,2,365,2,3,1125,1125,2.0,1125.0,t,22,52,82,348,26,18,3,2022-07-31,2023-12-03,4.88,4.92,4.96,4.85,4.96,4.96,4.81,t,42,42,0,0,1.54
43624645,1043232905,2019-05-09,United Kingdom,within an hour,100%,99%,t,Gold Coast,8,9,"['email', 'phone', 'work_email']",t,t,Near North Side,41.90136,-87.62574,Entire townhouse,Entire home/apt,10,3.5 baths,4.0,2,28,2,2,1125,1125,2.0,1125.0,t,19,38,68,335,138,36,4,2019-07-23,2023-12-15,4.78,4.8,4.76,4.8,4.7,4.99,4.65,t,2,2,0,0,2.57
1826978053737820973,1210418971,2019-10-15,"Chicago, IL",within an hour,90%,100%,f,Montclare,4,5,"['email', 'phone']",t,f,Montclare,41.92539,-87.79371,Entire condo,Entire home/apt,2,1 bath,1.0,32,1125,32,32,1125,1125,32.0,1125.0,t,0,0,14,14,3,3,0,2023-03-01,2023-08-22,4.67,4.67,4.33,5.0,5.0,4.67,5.0,f,4,4,0,0,0.31
1683872809926075015,504718491,2017-04-16,"Chicago, IL",within an hour,99%,96%,t,Fulton Market,24,28,"['email', 'phone']",t,t,Loop,41.8777,-87.62805,Entire rental unit,Entire home/apt,6,2 baths,3.0,2,60,2,4,60,60,2.0,60.0,t,0,0,0,0,109,56,0,2022-03-08,2023-11-09,4.81,4.82,4.83,4.87,4.93,4.82,4.55,f,24,24,0,0,5.02
1616915337586713339,3349889,2011-07-19,"Chicago, IL",,,,t,Irving Park,1,5,"['email', 'phone', 'work_email']",t,t,Irving Park,41.95965,-87.72016,Entire condo,Entire home/apt,2,1 bath,1.0,32,1125,32,32,1125,1125,32.0,1125.0,t,0,0,0,107,46,0,0,2014-09-14,2022-12-01,4.78,4.89,4.89,4.93,4.91,4.57,4.72,f,1,1,0,0,0.41
1907104980318217821,429737865,2016-12-16,"New York, NY",within an hour,100%,97%,f,Cambridge,4820,6438,"['email', 'phone', 'work_email']",t,t,Near West Side,41.8850096,-87.6440271,Entire rental unit,Entire home/apt,2,1 bath,1.0,32,1125,32,366,1125,1125,349.7,1125.0,t,16,46,76,351,0,0,0,,,,,,,,,,f,643,643,0,0,
1684443317696381641,683142129,2018-01-30,"Springfield, IL",within an hour,99%,97%,f,Near North Side,120,149,"['email', 'phone']",t,t,Lincoln Park,41.91201644400195,-87.63400521814037,Entire rental unit,Entire home/apt,14,2 baths,7.0,2,1125,2,3,1125,1125,2.5,1125.0,t,0,0,0,0,52,52,3,2023-01-15,2023-12-10,4.68,4.7,4.68,4.74,4.83,4.87,4.68,f,38,38,0,0,4.62
33331629,1765917795,2022-01-21,,a few days or more,0%,0%,f,South Shore,1,1,"['email', 'phone']",t,t,South Shore,41.75402,-87.55153,Private room in rental unit,Private room,1,1 shared bath,1.0,32,220,32,32,220,220,32.0,220.0,t,30,60,90,269,0,0,0,,,,,,,,,,f,1,0,1,0,
2031777723431655673,1932806009,2022-10-11,"Chicago, IL",within an hour,90%,80%,t,Near South Side,3,3,"['email', 'phone']",t,t,Near North Side,41.9040204,-87.6326926,Entire condo,Entire home/apt,2,1 bath,1.0,32,365,32,32,365,365,32.0,365.0,t,0,0,16,291,3,3,0,2023-01-14,2023-09-19,5.0,5.0,4.67,5.0,5.0,4.33,5.0,f,3,3,0,0,0.27
1930231964011124551,15861883,2012-10-24,"Chicago, IL",within an hour,100%,68%,t,South Loop/Printers Row,79,228,"['email', 'phone', 'work_email']",t,t,Near North Side,41.88853,-87.63399,Entire rental unit,Entire home/apt,2,1 bath,1.0,90,1123,90,90,1123,1123,90.0,1123.0,t,30,60,90,365,13,0,0,2014-08-31,2019-09-11,4.92,4.92,4.92,4.85,4.92,5.0,4.46,f,72,72,0,0,0.11
1529112788558241457,1469644235,2020-09-13,"Chicago, IL",within a few hours,75%,0%,f,Lower West Side,29,30,"['email', 'phone']",t,t,East Garfield Park,41.88496,-87.69635,Private room in home,Private room,2,1 shared bath,1.0,32,1125,32,32,1125,1125,32.0,1125.0,t,30,60,90,365,0,0,0,,,,,,,,,,f,29,1,28,0,
102986951,1963011011,2022-12-08,"Chicago, IL",within an hour,100%,90%,t,Rush & Division,9,10,"['email', 'phone']",t,t,Near North Side,41.89918777416008,-87.62687062933351,Entire rental unit,Entire home/apt,2,1 bath,1.0,1,365,2,2,365,365,2.0,365.0,t,24,54,84,174,31,31,1,2023-05-09,2023-12-03,4.71,4.77,4.84,4.87,4.87,4.97,4.61,f,8,8,0,0,4.15
92052959,2083212241,2023-06-19,,within an hour,100%,99%,t,South Lawndale,3,3,"['email', 'phone']",t,t,South Lawndale,41.845203821103695,-87.717881010083,Entire rental unit,Entire home/apt,2,1 bath,1.0,1,365,2,2,365,365,2.0,365.0,t,0,0,0,0,21,21,3,2023-07-01,2023-12-15,4.68,4.82,4.68,4.64,4.82,4.32,4.59,t,3,3,0,0,3.68
1181725682236386399,1265922667,2019-12-11,,within an hour,100%,100%,f,East Albany Park,16,23,"['email', 'phone']",t,t,Norwood Park,41.99203887421445,-87.7851128622145,Entire rental unit,Entire home/apt,4,1 bath,2.0,1,365,2,2,1125,1125,2.0,1125.0,t,26,56,86,361,12,12,0,2023-04-18,2023-10-30,4.17,4.58,4.33,4.5,4.33,4.75,4.17,t,15,15,0,0,1.47
2085818124803388503,479452305,2017-03-08,"Chicago, IL",within an hour,100%,100%,t,Wicker Park,2,2,"['email', 'phone']",t,f,West Town,41.90762,-87.66768,Entire rental unit,Entire home/apt,3,1 bath,2.0,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,170,37,0,2018-06-05,2023-11-13,4.95,4.96,4.94,4.98,4.98,4.95,4.91,f,2,2,0,0,2.52
1592994022453097559,272509081,2016-04-20,,,,,f,Pulaski Park,1,1,"['email', 'phone', 'work_email']",t,t,West Town,41.90175,-87.66801,Entire rental unit,Entire home/apt,2,1 bath,,32,1125,32,32,1125,1125,32.0,1125.0,t,0,0,0,0,0,0,0,,,,,,,,,,f,1,1,0,0,
1088170836992281037,201900225,2015-12-03,"Chicago, IL",within an hour,100%,98%,t,Andersonville,1,1,"['email', 'phone']",t,t,Edgewater,41.98688,-87.66738,Entire rental unit,Entire home/apt,5,1 bath,3.0,2,30,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,46,38,2,2022-10-14,2023-12-04,5.0,5.0,4.98,4.98,5.0,5.0,4.89,f,1,1,0,0,3.2
103470579,2089671585,2023-06-27,,within an hour,100%,97%,f,West Town,1,1,"['email', 'phone']",t,t,West Town,41.91154,-87.69407,Entire rental unit,Entire home/apt,4,2 baths,4.0,2,365,2,7,1125,1125,6.0,1125.0,t,13,43,73,73,23,23,5,2023-08-30,2023-12-04,4.74,4.78,4.87,4.74,4.83,4.7,4.83,t,1,1,0,0,6.22
1319911483740518213,619401465,2017-10-16,,within an hour,100%,100%,f,West Lakeview,2,2,"['email', 'phone']",t,t,North Center,41.939255,-87.682321,Entire rental unit,Entire home/apt,8,1.5 baths,4.0,32,365,32,32,32,1125,32.0,155.1,t,29,59,89,332,177,3,0,2017-11-26,2023-08-08,4.71,4.78,4.61,4.82,4.9,4.8,4.67,t,2,2,0,0,2.4
1834583396965472855,849253289,2018-08-28,"Chicago, IL",within an hour,100%,97%,t,Streeterville,31,36,"['email', 'phone']",t,t,Loop,41.87158,-87.62607,Private room in rental unit,Private room,2,1 private bath,1.0,2,365,2,4,1125,1125,2.7,1125.0,t,23,44,44,44,8,8,1,2023-10-20,2023-12-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,20,18,2,0,4.0
1676476250900515559,475410697,2017-03-02,"Chicago, IL",within an hour,100%,100%,f,Lower West Side,1,3,"['email', 'phone', 'work_email']",t,t,Lower West Side,41.853422095322856,-87.66670036773925,Entire rental unit,Entire home/apt,6,2 baths,3.0,2,365,2,2,365,365,2.0,365.0,t,30,60,90,90,12,12,0,2023-05-08,2023-10-29,4.33,4.5,4.42,4.83,4.83,4.75,4.25,f,1,1,0,0,1.6
