id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
53872917,366516391,2018-04-09,"Chicago, IL",within an hour,96%,95%,f,Back of the Yards,11,13,"['email', 'phone']",t,t,New City,41.79424,-87.66138,Private room in rental unit,Private room,1,1 shared bath,1.0,$30.00,32,1125,32,32,1125,1125,32.0,1125.0,t,30,60,90,365,18,0,0,2019-06-16,2022-08-12,4.94,5.0,4.89,5.0,5.0,4.28,4.83,f,9,1,8,0,0.33
39269663,50276775,2014-12-23,,within an hour,100%,97%,f,Clearwater Beach,1141,2346,"['email', 'phone']",t,t,Near North Side,41.892749050757295,-87.62071101709277,Room in hotel,Private room,12,3 baths,3.0,"$1,247.00",32,365,32,32,365,365,32.0,365.0,t,25,49,66,135,0,0,0,,,,,,,,,,t,58,0,58,0,
556480733030442463,681680651,2020-03-08,,within an hour,100%,100%,f,Lake View East,1,1,['phone'],t,t,Lake View,41.9481596,-87.65230869999999,Entire rental unit,Entire home/apt,6,1 bath,3.0,$214.00,2,45,2,2,45,45,2.0,45.0,t,0,0,0,0,14,14,1,2023-07-21,2023-12-03,4.87,5.0,5.0,5.0,5.0,4.93,4.8,f,1,1,0,0,2.78
52397280,94345291,2015-10-22,"Chicago, IL",within an hour,100%,98%,f,Bucktown,55,58,"['email', 'phone', 'work_email']",t,t,Hyde Park,41.80103,-87.59716,Entire rental unit,Entire home/apt,2,1 bath,1.0,$59.00,2,180,2,2,180,180,2.0,180.0,t,23,53,83,355,13,13,3,2023-09-02,2023-12-06,4.08,4.08,4.0,4.38,4.23,4.54,3.85,t,55,55,0,0,3.61
745949202271858960,790998106,2021-04-04,"Chicago, IL",within an hour,100%,100%,t,Near South Side,74,75,"['email', 'phone']",t,t,Near South Side,41.85577,-87.62413,Entire rental unit,Entire home/apt,6,2 baths,3.0,$151.00,2,365,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,64,42,3,2022-05-06,2023-12-06,4.8,4.74,4.75,4.83,4.85,4.74,4.72,t,74,74,0,0,3.24
740776888820274217,50276775,2014-12-23,,within an hour,100%,97%,f,Clearwater Beach,1141,2346,"['email', 'phone']",t,t,Near North Side,41.8921,-87.61866,Room in hotel,Private room,2,1 bath,1.0,$157.00,1,365,1,1,1,999,1.0,742.0,t,22,48,66,201,2,2,1,2023-10-29,2023-12-13,5.0,5.0,5.0,5.0,5.0,4.0,5.0,t,58,0,58,0,1.18
841653025955157554,570167059,2019-08-12,"Chicago, IL",within a few hours,100%,97%,t,Hyde Park,3,4,"['email', 'phone', 'work_email']",t,t,South Shore,41.77274,-87.57262,Entire condo,Entire home/apt,2,1 bath,1.0,$99.00,2,90,2,2,1125,1125,2.0,1125.0,t,30,60,90,180,35,15,0,2020-09-07,2023-10-09,4.74,4.91,4.8,4.69,4.86,4.43,4.63,f,3,3,0,0,0.88
764576255652833213,975964114,2022-11-16,,within an hour,100%,99%,t,Humboldt Park,4,4,"['email', 'phone']",t,t,West Town,41.899645285823865,-87.70594889983555,Entire rental unit,Entire home/apt,4,2 baths,2.0,$145.00,2,365,2,2,1125,1125,2.0,1125.0,t,30,45,63,63,25,25,0,2023-02-13,2023-10-16,4.88,4.92,4.76,4.84,4.92,4.4,4.72,f,4,4,0,0,2.43
856428289430147957,44110882,2014-10-02,"Chicago, IL",within a few hours,100%,93%,f,Douglas,1,6,"['email', 'phone']",t,t,Douglas,41.83383,-87.62166,Entire guest suite,Entire home/apt,4,2 baths,2.0,$150.00,2,1125,2,2,1125,1125,2.0,1125.0,t,25,45,75,337,32,16,1,2022-08-07,2023-11-18,4.75,4.94,4.69,4.88,4.94,4.78,4.91,f,1,1,0,0,1.92
862445262062147247,497520971,2019-03-14,,within an hour,99%,99%,t,West Loop/Greektown,71,88,['phone'],t,t,Near North Side,41.89612,-87.62781,Entire rental unit,Entire home/apt,6,2 baths,3.0,$258.00,2,365,2,3,1125,1125,2.2,1125.0,t,0,0,0,0,11,11,2,2023-04-23,2023-12-05,5.0,5.0,5.0,4.85,5.0,5.0,4.69,t,51,51,0,0,1.38
821652381124820488,124046274,2016-03-07,"Los Angeles, CA",within a few hours,100%,84%,f,West Ridge,1,2,"['email', 'phone']",t,t,West Ridge,41.99560601123468,-87.68627179717201,Private room in rental unit,Private room,2,1 bath,1.0,$77.00,1,60,2,2,60,60,2.0,60.0,t,30,60,90,269,13,13,1,2023-07-28,2023-11-25,5.0,4.92,4.92,4.85,5.0,4.92,4.92,f,1,0,1,0,2.71
952833180344231586,486071274,2019-02-13,"Skokie, IL",within an hour,100%,100%,f,Near South Side,42,45,"['email', 'phone']",t,t,Near South Side,41.85394,-87.6273,Entire rental unit,Entire home/apt,6,2 baths,3.0,$158.00,2,365,2,3,1125,1125,2.0,1125.0,t,22,52,82,348,26,18,3,2022-07-31,2023-12-03,4.88,4.92,4.96,4.85,4.96,4.96,4.81,t,42,42,0,0,1.54
